85.1.235.197 - - [19/Jul/2019:08:43:56 +0200] "GET /css/widgets/concat_widget.min.css?v=7.1.44342 HTTP/1.1" 200 31197
85.1.235.197 - - [19/Jul/2019:08:43:56 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 2066
85.1.235.197 - - [19/Jul/2019:08:43:56 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
85.1.235.197 - - [19/Jul/2019:08:43:56 +0200] "GET /var/m_0/0d/0dd/12455/9114323-G3_SKT2018_08.jpg HTTP/1.1" 200 194476
85.1.235.197 - - [19/Jul/2019:08:43:56 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
85.1.235.197 - - [19/Jul/2019:08:43:57 +0200] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
85.1.235.197 - - [19/Jul/2019:08:43:57 +0200] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 200 48853
85.1.235.197 - - [19/Jul/2019:08:43:57 +0200] "GET /var/m_0/0d/0dd/12455/8883620-logo_homepage_bootspruefung24_big.png HTTP/1.1" 200 7633
85.1.235.197 - - [19/Jul/2019:08:43:57 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_m_bottom.png HTTP/1.1" 200 1000
85.1.235.197 - - [19/Jul/2019:08:44:46 +0200] "GET /kurse HTTP/1.1" 200 7815
85.1.235.197 - - [19/Jul/2019:08:44:47 +0200] "GET /var/m_0/0d/0dd/12455/8010562-7_Plauschsegeln.JPG HTTP/1.1" 200 189182
85.1.235.197 - - [19/Jul/2019:08:44:47 +0200] "GET /var/m_0/0d/0dd/12455/125488-4_Grundkurs.JPG HTTP/1.1" 200 77496
85.1.235.197 - - [19/Jul/2019:08:44:47 +0200] "GET /var/m_0/0d/0dd/12455/125489-5_Pr%C3%BCfungskurs.JPG HTTP/1.1" 200 53669
85.1.235.197 - - [19/Jul/2019:08:44:47 +0200] "GET /var/m_0/0d/0dd/12455/125486-2_Sportkurs.JPG HTTP/1.1" 200 69000
85.1.235.197 - - [19/Jul/2019:08:44:47 +0200] "GET /var/m_0/0d/0dd/12455/125487-3_SKCrashkurs.JPG HTTP/1.1" 200 80503
85.1.235.197 - - [19/Jul/2019:08:44:47 +0200] "GET /var/m_0/0d/0dd/12455/125503-36_420er.jpg HTTP/1.1" 200 61172
85.1.235.197 - - [19/Jul/2019:08:45:03 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
85.1.235.197 - - [19/Jul/2019:08:45:03 +0200] "GET /var/m_0/0d/0dd/12455/125485-1_Kinderkurs.JPG HTTP/1.1" 200 64975
85.1.235.197 - - [19/Jul/2019:08:45:03 +0200] "GET /var/m_0/0d/0dd/12455/126374-6_Schnupperkurs.JPG HTTP/1.1" 200 53584
85.1.235.197 - - [19/Jul/2019:08:45:36 +0200] "GET /pruefungskurs HTTP/1.1" 200 7000
178.196.189.27 - - [19/Jul/2019:08:47:31 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 4700
178.196.189.27 - - [19/Jul/2019:08:47:32 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 4700
178.196.189.27 - - [19/Jul/2019:08:47:34 +0200] "GET /vermietung.shtml HTTP/1.1" 200 5395
178.196.189.27 - - [19/Jul/2019:08:47:37 +0200] "GET /templates/resellers/7/favicon.ico?v=1562961229 HTTP/1.1" 200 4286
178.196.189.27 - - [19/Jul/2019:08:47:46 +0200] "GET /vermietung.shtml HTTP/1.1" 200 5431
178.196.189.27 - - [19/Jul/2019:08:47:50 +0200] "GET /templates/resellers/7/favicon.ico?v=1562937861 HTTP/1.1" 200 4286
178.196.189.27 - - [19/Jul/2019:08:47:50 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 4700
178.196.189.27 - - [19/Jul/2019:08:47:51 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 4700
66.249.81.234 - - [19/Jul/2019:08:53:45 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 301 617
66.249.81.245 - - [19/Jul/2019:08:53:45 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
207.46.13.78 - - [19/Jul/2019:08:54:09 +0200] "GET /flotte HTTP/1.1" 301 617
