173.243.112.12 - - [22/Jan/2018:11:42:54 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 200 21440
173.243.112.12 - - [22/Jan/2018:11:42:55 +0100] "GET /standort.shtml HTTP/1.1" 200 17547
173.243.112.12 - - [22/Jan/2018:11:42:55 +0100] "GET /smartkat-crashkurs.shtml HTTP/1.1" 200 17863
173.243.112.12 - - [22/Jan/2018:11:42:55 +0100] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 19993
173.243.112.12 - - [22/Jan/2018:11:42:56 +0100] "GET /js/functions_stripped.js?v=6.6.7.2.41064 HTTP/1.1" 200 7672
173.243.112.12 - - [22/Jan/2018:11:42:56 +0100] "GET /vermietung.shtml HTTP/1.1" 200 25728
173.243.112.12 - - [22/Jan/2018:11:42:57 +0100] "GET /js/jquery.lazyload.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 3342
173.243.112.12 - - [22/Jan/2018:11:42:57 +0100] "GET /Perspectiva.html? HTTP/1.1" 200 18069
173.243.112.12 - - [22/Jan/2018:11:42:58 +0100] "GET /aktuelles-wetter HTTP/1.1" 200 18388
109.192.193.5 - - [22/Jan/2018:11:55:27 +0100] "GET /var/m_0/0d/0dd/12455/126126-43_See.JPG HTTP/1.1" 200 86511
